65;768,79;768,82;
65;768,82;
90;769,82;
110;769,79;
190;768,79;
221;768,79;
223;768,79;
225;768,79;
227;768,79;
229;768,79;
231;768,79;
232;768,79;
234;768,79;
237;768,79;
239;768,79;
241;768,79;
242;768,79;
244;768,79;
246;768,79;
248;768,79;
250;768,82;
255;769,79;769,82;
255;769,82;
293;768,80;
304;769,80;
306;768,79;
322;768,82;
332;769,82;
337;769,79;
344;768,80;
351;769,80;
362;768,80;
365;768,82;
377;769,80;
382;768,79;
389;769,82;
402;769,79;
418;768,80;
425;768,82;
455;769,82;
478;769,80;
507;768,79;
529;769,79;
560;768,80;
570;769,80;
580;768,80;
585;769,80;
592;768,80;
615;769,80;
620;768,79;
638;769,79;
648;768,79;
654;769,79;
787;768,82;
796;769,82;768,80;
796;768,80;
806;769,80;
824;768,79;
830;769,79;
843;768,79;
847;769,79;
881;768,82;
883;768,80;
894;769,82;
903;769,80;
925;768,79;
927;769,79;
949;768,80;
960;769,80;
978;768,82;
983;768,80;
995;769,82;
1006;769,80;
1027;768,79;
1035;769,79;
1052;768,82;
1062;768,80;
1073;769,82;
1075;769,80;
1090;768,79;
1121;768,79;
1123;768,79;768,82;
1123;768,82;
1151;768,82;
1153;769,82;
1173;769,79;
1176;768,80;
1198;768,80;
1200;768,80;
1202;768,80;
1204;768,80;
1205;768,80;
1207;768,80;
1209;768,80;
1211;768,80;
1213;768,80;
1216;768,80;
1218;768,80;
1219;768,80;
1221;768,80;
1223;768,80;
1225;768,80;
1228;768,80;
1230;768,80;
1231;768,80;
1233;768,80;
1235;768,80;
1237;768,80;
1240;768,80;
1242;768,80;
1243;768,80;
1245;768,80;
1247;768,80;
1249;768,80;
1251;768,80;
1254;768,80;
1256;768,80;
1258;768,80;
1259;768,80;
1261;768,80;
1263;768,80;
1265;768,80;
1267;768,80;
1268;768,82;
1277;769,82;
1287;769,80;
1290;768,79;
1321;768,79;
1323;768,79;
1324;768,79;
1326;768,79;
1328;768,79;
1331;768,79;
1333;768,79;
1335;768,79;
1337;768,79;
1338;768,79;
1340;768,79;
1343;768,79;
1344;768,79;
1346;768,79;
1348;768,79;
1350;768,79;
1352;768,79;
1353;768,82;
1382;769,82;
1389;769,79;
1500;256,;
1500;256,;
